top - 15:16:21 up  3:17,  2 users,  load average: 11.04, 10.41, 8.20
Tasks:  42 total,  12 running,  30 sleeping,   0 stopped,   0 zombie
Cpu(s):   0.4% user,  61.9% system,   0.0% nice,  37.6% idle
Mem:    255868k total,    37548k used,   218320k free,     1332k buffers
Swap:        0k total,        0k used,        0k free,    25236k cached

  PID USER      PR  NI  VIRT  RES  SHR S %CPU %MEM    TIME+  COMMAND            
  854 u1        20   0   236  236  196 R 12.1  0.1   1:10.44 u1                 
  858 u1        20   0   236  236  196 R 12.1  0.1   1:10.60 u1                 
  862 u1        20   0   236  236  196 R 12.1  0.1   1:10.09 u1                 
  866 u1        20   0   236  236  196 R 12.1  0.1   1:10.25 u1                 
  870 u1        20   0   236  236  196 R 12.1  0.1   1:10.31 u1                 
  874 u1        20   0   236  236  196 R 12.1  0.1   1:10.24 u1                 
  878 u2        20   0   236  236  196 R 12.1  0.1   1:10.21 u2                 
  886 u3        19   0   236  236  196 R 10.0  0.1   1:10.10 u3                 
  882 u3        17   0   236  236  196 R  6.0  0.1   1:10.53 u3                 
    1 root       8   0   500  500  448 S  0.0  0.2   0:04.54 init               
    2 root       9   0     0    0    0 S  0.0  0.0   0:00.00 keventd            
    3 root      18  19     0    0    0 S  0.0  0.0   0:00.00 ksoftirqd_CPU0     
    4 root       9   0     0    0    0 S  0.0  0.0   0:00.00 kswapd             
    5 root       9   0     0    0    0 S  0.0  0.0   0:00.00 bdflush            
    6 root       9   0     0    0    0 S  0.0  0.0   0:00.64 kupdated           
    9 root       9   0     0    0    0 S  0.0  0.0   0:00.00 khubd              
  364 root       9   0   856  856  732 S  0.0  0.3   0:00.00 dhclient           
  369 daemon     9   0   452  452  384 S  0.0  0.2   0:00.00 portmap            
  527 root       9   0   808  808  704 S  0.0  0.3   0:00.36 syslogd            
  530 root       9   0  1372 1368  456 S  0.0  0.5   0:00.03 klogd              
  565 Debian-e   9   0  1748 1744 1504 S  0.0  0.7   0:00.00 exim4              
  571 root       9   0   720  720  652 S  0.0  0.3   0:00.00 inetd              
  575 lp         9   0   864  864  752 S  0.0  0.3   0:00.00 lpd                
  582 root       8   0  1540 1536 1396 S  0.0  0.6   0:00.00 sshd               
  587 root       9   0   932  932  836 S  0.0  0.4   0:00.01 rpc.statd          
  590 daemon     9   0   636  636  560 S  0.0  0.2   0:00.00 atd                
  593 root       9   0   716  716  612 S  0.0  0.3   0:00.00 cron               
  599 root       8   0  1664 1664 1200 S  0.0  0.7   0:00.10 bash               
  600 root       9   0   472  472  420 S  0.0  0.2   0:00.00 getty              
  601 root       9   0   472  472  420 S  0.0  0.2   0:00.00 getty              
  602 root       9   0   472  472  420 S  0.0  0.2   0:00.00 getty              
  603 root       9   0   472  472  420 S  0.0  0.2   0:00.00 getty              
  604 root       9   0   472  472  420 S  0.0  0.2   0:00.00 getty              
  608 root       9   0  2248 2240 1948 S  0.0  0.9   0:03.64 sshd               
  610 root       8   0  2248 2240 1948 S  0.0  0.9   0:00.00 sshd               
  612 root      11   0  1660 1660 1208 S  0.0  0.6   0:00.04 bash               
  781 root       9   0  2264 2256 1944 S  0.0  0.9   0:00.11 sshd               
  783 root       9   0  2264 2256 1944 S  0.0  0.9   0:00.00 sshd               
  785 root       9   0  1032 1032  784 S  0.0  0.4   0:00.05 sftp-server        
  890 u4        14   0   236  236  196 R  0.0  0.1   1:10.13 u4                 
  894 u4        14   0   236  236  196 R  0.0  0.1   1:09.93 u4                 
  902 root      11   0   948  948  768 R  0.0  0.4   0:00.00 top                


top - 15:16:22 up  3:17,  2 users,  load average: 11.04, 10.41, 8.20
Tasks:  42 total,  12 running,  30 sleeping,   0 stopped,   0 zombie
Cpu(s):   1.0% user,  98.0% system,   0.0% nice,   1.0% idle
Mem:    255868k total,    37560k used,   218308k free,     1332k buffers
Swap:        0k total,        0k used,        0k free,    25240k cached

  PID USER      PR  NI  VIRT  RES  SHR S %CPU %MEM    TIME+  COMMAND            
  894 u4        20   0   236  236  196 R 18.0  0.1   1:10.11 u4                 
  854 u1        20   0   236  236  196 R 12.0  0.1   1:10.56 u1                 
