top - 15:05:48 up  3:06,  2 users,  load average: 10.03, 5.71, 5.45
Tasks:  42 total,  12 running,  30 sleeping,   0 stopped,   0 zombie
Cpu(s):   0.4% user,  59.8% system,   0.0% nice,  39.7% idle
Mem:    255868k total,    35228k used,   220640k free,     1308k buffers
Swap:        0k total,        0k used,        0k free,    22980k cached

  PID USER      PR  NI  VIRT  RES  SHR S %CPU %MEM    TIME+  COMMAND            
  854 u1        20   0   236  236  196 R 12.0  0.1   0:13.19 u1                 
  858 u1        20   0   236  236  196 R 12.0  0.1   0:13.20 u1                 
  862 u1        20   0   236  236  196 R 12.0  0.1   0:13.10 u1                 
  866 u1        20   0   236  236  196 R 12.0  0.1   0:13.17 u1                 
  870 u1        20   0   236  236  196 R 12.0  0.1   0:13.23 u1                 
  874 u1        20   0   236  236  196 R 12.0  0.1   0:13.11 u1                 
  878 u2        20   0   236  236  196 R 12.0  0.1   0:13.18 u2                 
  882 u3        20   0   236  236  196 R 12.0  0.1   0:13.13 u3                 
  886 u3        16   0   236  236  196 R  4.0  0.1   0:12.93 u3                 
    1 root       8   0   500  500  448 S  0.0  0.2   0:04.54 init               
    2 root       9   0     0    0    0 S  0.0  0.0   0:00.00 keventd            
    3 root      18  19     0    0    0 S  0.0  0.0   0:00.00 ksoftirqd_CPU0     
    4 root       9   0     0    0    0 S  0.0  0.0   0:00.00 kswapd             
    5 root       9   0     0    0    0 S  0.0  0.0   0:00.00 bdflush            
    6 root       9   0     0    0    0 S  0.0  0.0   0:00.58 kupdated           
    9 root       9   0     0    0    0 S  0.0  0.0   0:00.00 khubd              
  364 root       9   0   856  856  732 S  0.0  0.3   0:00.00 dhclient           
  369 daemon     9   0   452  452  384 S  0.0  0.2   0:00.00 portmap            
  527 root       9   0   808  808  704 S  0.0  0.3   0:00.36 syslogd            
  530 root       9   0  1372 1368  456 S  0.0  0.5   0:00.03 klogd              
  565 Debian-e   9   0  1748 1744 1504 S  0.0  0.7   0:00.00 exim4              
  571 root       9   0   720  720  652 S  0.0  0.3   0:00.00 inetd              
  575 lp         9   0   864  864  752 S  0.0  0.3   0:00.00 lpd                
  582 root       8   0  1540 1536 1396 S  0.0  0.6   0:00.00 sshd               
  587 root       9   0   932  932  836 S  0.0  0.4   0:00.01 rpc.statd          
  590 daemon     9   0   636  636  560 S  0.0  0.2   0:00.00 atd                
  593 root       9   0   716  716  612 S  0.0  0.3   0:00.00 cron               
  599 root       8   0  1664 1664 1200 S  0.0  0.7   0:00.10 bash               
  600 root       9   0   472  472  420 S  0.0  0.2   0:00.00 getty              
  601 root       9   0   472  472  420 S  0.0  0.2   0:00.00 getty              
  602 root       9   0   472  472  420 S  0.0  0.2   0:00.00 getty              
  603 root       9   0   472  472  420 S  0.0  0.2   0:00.00 getty              
  604 root       9   0   472  472  420 S  0.0  0.2   0:00.00 getty              
  608 root       9   0  2248 2240 1948 S  0.0  0.9   0:03.49 sshd               
  610 root       8   0  2248 2240 1948 S  0.0  0.9   0:00.00 sshd               
  612 root      11   0  1660 1660 1208 S  0.0  0.6   0:00.04 bash               
  781 root       9   0  2264 2256 1944 S  0.0  0.9   0:00.11 sshd               
  783 root       9   0  2264 2256 1944 S  0.0  0.9   0:00.00 sshd               
  785 root       9   0  1032 1032  784 S  0.0  0.4   0:00.05 sftp-server        
  890 u4        14   0   236  236  196 R  0.0  0.1   0:12.88 u4                 
  894 u4        14   0   236  236  196 R  0.0  0.1   0:12.98 u4                 
  896 root      11   0   948  948  768 R  0.0  0.4   0:00.00 top                


top - 15:05:49 up  3:06,  2 users,  load average: 10.03, 5.71, 5.45
Tasks:  42 total,  12 running,  30 sleeping,   0 stopped,   0 zombie
Cpu(s):   0.0% user,  99.0% system,   0.0% nice,   1.0% idle
Mem:    255868k total,    35236k used,   220632k free,     1308k buffers
Swap:        0k total,        0k used,        0k free,    22984k cached

  PID USER      PR  NI  VIRT  RES  SHR S %CPU %MEM    TIME+  COMMAND            
  894 u4        20   0   236  236  196 R 18.0  0.1   0:13.16 u4                 
  854 u1        20   0   236  236  196 R 12.0  0.1   0:13.31 u1                 
  890 u4        14   0   236  236  196 R 12.0  0.1   0:13.00 u4                 
  866 u1        14   0   236  236  196 R 10.0  0.1   0:13.27 u1                 
  886 u3        14   0   236  236  196 R 10.0  0.1   0:13.03 u3                 
  858 u1        15   0   236  236  196 R  7.0  0.1   0:13.27 u1                 
  862 u1        14   0   236  236  196 R  6.0  0.1   0:13.16 u1                 
  870 u1        14   0   236  236  196 R  6.0  0.1   0:13.29 u1                 
  874 u1        14   0   236  236  196 R  6.0  0.1   0:13.17 u1                 
  878 u2        14   0   236  236  196 R  6.0  0.1   0:13.24 u2                 
  882 u3        14   0   236  236  196 R  6.0  0.1   0:13.19 u3                 
    1 root       8   0   500  500  448 S  0.0  0.2   0:04.54 init               
    2 root       9   0     0    0    0 S  0.0  0.0   0:00.00 keventd            
    3 root      18  19     0    0    0 S  0.0  0.0   0:00.00 ksoftirqd_CPU0     
    4 root       9   0     0    0    0 S  0.0  0.0   0:00.00 kswapd             
    5 root       9   0     0    0    0 S  0.0  0.0   0:00.00 bdflush            
    6 root       9   0     0    0    0 S  0.0  0.0   0:00.58 kupdated           
    9 root       9   0     0    0    0 S  0.0  0.0   0:00.00 khubd              
  364 root       9   0   856  856  732 S  0.0  0.3   0:00.00 dhclient           
  369 daemon     9   0   452  452  384 S  0.0  0.2   0:00.00 portmap            
  527 root       9   0   808  808  704 S  0.0  0.3   0:00.36 syslogd            
  530 root       9   0  1372 1368  456 S  0.0  0.5   0:00.03 klogd              
  565 Debian-e   9   0  1748 1744 1504 S  0.0  0.7   0:00.00 exim4              
  571 root       9   0   720  720  652 S  0.0  0.3   0:00.00 inetd              
  575 lp         9   0   864  864  752 S  0.0  0.3   0:00.00 lpd                
  582 root       8   0  1540 1536 1396 S  0.0  0.6   0:00.00 sshd               
  587 root       9   0   932  932  836 S  0.0  0.4   0:00.01 rpc.statd          
  590 daemon     9   0   636  636  560 S  0.0  0.2   0:00.00 atd                
  593 root       9   0   716  716  612 S  0.0  0.3   0:00.00 cron               
  599 root       8   0  1664 1664 1200 S  0.0  0.7   0:00.10 bash               
  600 root       9   0   472  472  420 S  0.0  0.2   0:00.00 getty              
